Predicted_X,Predicted_Y,Z_HW_elev,Z_FW_elev
441676.25,338232.62,,
441886.12,338232.62,,
442096.0,338232.62,,
442305.84,338232.62,,
442515.72,338232.62,,
442725.6,338232.62,,
442935.44,338232.62,,
443145.3,338232.62,,
443355.16,338232.62,,
443565.03,338232.62,,
443774.9,338232.62,,
443984.75,338232.62,,
444194.62,338232.62,,
444404.47,338232.62,,
444614.34,338232.62,,
444824.22,338232.62,,
445034.06,338232.62,,
445243.94,338232.62,,
445453.8,338232.62,,
445663.66,338232.62,,
445873.53,338232.62,,
446083.38,338232.62,,
446293.25,338232.62,,
446503.12,338232.62,,
446712.97,338232.62,,
446922.84,338232.62,,
447132.7,338232.62,,
447342.56,338232.62,,
447552.44,338232.62,,
447762.28,338232.62,,
447972.16,338232.62,,
448182.03,338232.62,,
448391.88,338232.62,,
448601.75,338232.62,,
448811.6,338232.62,,
449021.47,338232.62,,
449231.34,338232.62,,
449441.2,338232.62,,
449651.06,338232.62,,
449860.9,338232.62,,
450070.78,338232.62,,
450280.66,338232.62,,
450490.5,338232.62,,
450700.38,338232.62,,
450910.25,338232.62,,
451120.1,338232.62,,
451329.97,338232.62,,
451539.8,338232.62,,
451749.7,338232.62,,
451959.56,338232.62,,
452169.4,338232.62,,
452379.28,338232.62,,
452589.12,338232.62,,
452799.0,338232.62,,
453008.88,338232.62,,
453218.72,338232.62,,
453428.6,338232.62,,
453638.47,338232.62,,
453848.3,338232.62,,
454058.2,338232.62,,
454268.03,338232.62,,
454477.9,338232.62,,
454687.78,338232.62,,
454897.62,338232.62,,
455107.5,338232.62,,
455317.34,338232.62,,
455527.22,338232.62,,
455737.1,338232.62,,
455946.94,338232.62,,
456156.8,338232.62,,
456366.7,338232.62,,
456576.53,338232.62,,
456786.4,338232.62,,
456996.25,338232.62,,
457206.12,338232.62,,
457416.0,338232.62,,
457625.84,338232.62,,
457835.72,338232.62,,
458045.6,338232.62,,
458255.44,338232.62,,
458465.3,338232.62,,
458675.16,338232.62,,
458885.03,338232.62,,
459094.9,338232.62,,
459304.75,338232.62,,
459514.62,338232.62,,
459724.47,338232.62,,
459934.34,338232.62,,
460144.22,338232.62,,
418381.47,338435.25,,
418591.34,338435.25,,
418801.2,338435.25,,
419011.06,338435.25,,
419220.94,338435.25,,
419430.78,338435.25,,
419640.66,338435.25,,
419850.5,338435.25,,
420060.38,338435.25,,
420270.25,338435.25,,
420480.1,338435.25,,
420689.97,338435.25,,
420899.84,338435.25,,
421109.7,338435.25,,
421319.56,338435.25,,
421529.4,338435.25,,
421739.28,338435.25,,
421949.16,338435.25,,
422159.0,338435.25,,
422368.88,338435.25,,
422578.72,338435.25,,
422788.6,338435.25,,
422998.47,338435.25,,
